Date,GBP= (BID)
,Close
31/5/2023,1.2437
30/5/2023,1.2413
29/5/2023,1.2351
26/5/2023,1.2343
25/5/2023,1.2321
24/5/2023,1.2364
23/5/2023,1.241
22/5/2023,1.2437
19/5/2023,1.2444
18/5/2023,1.2408
17/5/2023,1.2486
16/5/2023,1.2485
15/5/2023,1.2527
12/5/2023,1.2457
11/5/2023,1.2509
10/5/2023,1.2624
09/5/2023,1.2619
08/5/2023,1.2617
05/5/2023,1.2641
04/5/2023,1.2572
03/5/2023,1.2564
02/5/2023,1.2464
01/5/2023,1.2496
28/4/2023,1.2572
27/4/2023,1.2487
26/4/2023,1.2467
25/4/2023,1.2408
24/4/2023,1.2482
21/4/2023,1.243
20/4/2023,1.2443
19/4/2023,1.2438
18/4/2023,1.2424
17/4/2023,1.2374
14/4/2023,1.2413
13/4/2023,1.252
12/4/2023,1.2481
11/4/2023,1.2424
10/4/2023,1.2381
07/4/2023,1.2413
06/4/2023,1.2439
05/4/2023,1.2457
04/4/2023,1.2499
03/4/2023,1.2411
31/3/2023,1.2333
30/3/2023,1.2383
29/3/2023,1.2311
28/3/2023,1.234
27/3/2023,1.2284
24/3/2023,1.223
23/3/2023,1.2285
22/3/2023,1.2264
21/3/2023,1.2214
20/3/2023,1.2276
17/3/2023,1.2175
16/3/2023,1.2107
15/3/2023,1.2065
14/3/2023,1.2158
13/3/2023,1.2181
10/3/2023,1.2028
09/3/2023,1.1925
08/3/2023,1.1842
07/3/2023,1.1827
06/3/2023,1.2021
03/3/2023,1.204
02/3/2023,1.1941
01/3/2023,1.2031
28/2/2023,1.202
27/2/2023,1.2062
24/2/2023,1.1944
23/2/2023,1.2013
22/2/2023,1.2044
21/2/2023,1.2115
20/2/2023,1.2038
17/2/2023,1.2035
16/2/2023,1.1993
15/2/2023,1.2026
14/2/2023,1.217
13/2/2023,1.2135
10/2/2023,1.2058
09/2/2023,1.2122
08/2/2023,1.2071
07/2/2023,1.2042
06/2/2023,1.2016
03/2/2023,1.2051
02/2/2023,1.2223
01/2/2023,1.2376
31/1/2023,1.232
30/1/2023,1.2352
27/1/2023,1.2397
26/1/2023,1.2406
25/1/2023,1.24
24/1/2023,1.2328
23/1/2023,1.2373
20/1/2023,1.2393
19/1/2023,1.2389
18/1/2023,1.2346
17/1/2023,1.2288
16/1/2023,1.2191
13/1/2023,1.2226
12/1/2023,1.22
11/1/2023,1.2142
10/1/2023,1.2155
09/1/2023,1.2183
06/1/2023,1.2092
05/1/2023,1.1906
04/1/2023,1.2053
03/1/2023,1.1966
02/1/2023,1.2045
30/12/2022,1.2097
29/12/2022,1.2052
28/12/2022,1.2013
27/12/2022,1.2021
26/12/2022,1.206
23/12/2022,1.2058
22/12/2022,1.2043
21/12/2022,1.2083
20/12/2022,1.2181
19/12/2022,1.2146
16/12/2022,1.214
15/12/2022,1.2176
14/12/2022,1.2421
13/12/2022,1.2354
12/12/2022,1.227
09/12/2022,1.2255
08/12/2022,1.2233
07/12/2022,1.2199
06/12/2022,1.2137
05/12/2022,1.2188
02/12/2022,1.2287
01/12/2022,1.2253
30/11/2022,1.2056
29/11/2022,1.1953
28/11/2022,1.1958
25/11/2022,1.2093
24/11/2022,1.211
23/11/2022,1.2052
22/11/2022,1.1883
21/11/2022,1.1821
18/11/2022,1.1884
17/11/2022,1.1862
16/11/2022,1.1908
15/11/2022,1.1858
14/11/2022,1.1752
11/11/2022,1.1835
10/11/2022,1.1713
09/11/2022,1.1356
08/11/2022,1.1536
07/11/2022,1.1511
04/11/2022,1.1375
03/11/2022,1.1165
02/11/2022,1.1389
01/11/2022,1.1483
31/10/2022,1.1469
28/10/2022,1.161
27/10/2022,1.1564
26/10/2022,1.1627
25/10/2022,1.1467
24/10/2022,1.1275
21/10/2022,1.1302
20/10/2022,1.1233
19/10/2022,1.1214
18/10/2022,1.1318
17/10/2022,1.1353
14/10/2022,1.117
13/10/2022,1.1329
12/10/2022,1.1103
11/10/2022,1.0963
10/10/2022,1.1055
07/10/2022,1.1084
06/10/2022,1.1158
05/10/2022,1.1326
04/10/2022,1.1473
03/10/2022,1.1322
30/9/2022,1.116
29/9/2022,1.1115
28/9/2022,1.0888
27/9/2022,1.0731
26/9/2022,1.0684
23/9/2022,1.0856
22/9/2022,1.1257
21/9/2022,1.1266
20/9/2022,1.1379
19/9/2022,1.1429
16/9/2022,1.1412
15/9/2022,1.1463
14/9/2022,1.1535
13/9/2022,1.1491
12/9/2022,1.1679
09/9/2022,1.1587
08/9/2022,1.15
07/9/2022,1.1525
06/9/2022,1.1516
05/9/2022,1.1513
02/9/2022,1.1507
01/9/2022,1.1542
31/8/2022,1.1622
30/8/2022,1.1655
29/8/2022,1.1707
26/8/2022,1.1747
25/8/2022,1.1829
24/8/2022,1.1797
23/8/2022,1.1831
22/8/2022,1.1765
19/8/2022,1.1827
18/8/2022,1.193
17/8/2022,1.2047
16/8/2022,1.2093
15/8/2022,1.2054
12/8/2022,1.213
11/8/2022,1.2212
10/8/2022,1.2225
09/8/2022,1.208
08/8/2022,1.2076
05/8/2022,1.2071
04/8/2022,1.2157
03/8/2022,1.2143
02/8/2022,1.2172
01/8/2022,1.2248
29/7/2022,1.2166
28/7/2022,1.2169
27/7/2022,1.2151
26/7/2022,1.2025
25/7/2022,1.2042
22/7/2022,1.2002
21/7/2022,1.1993
20/7/2022,1.1969
19/7/2022,1.1995
18/7/2022,1.1954
15/7/2022,1.1852
14/7/2022,1.1822
13/7/2022,1.1889
12/7/2022,1.1885
11/7/2022,1.1889
08/7/2022,1.2027
07/7/2022,1.2021
06/7/2022,1.193
05/7/2022,1.1957
04/7/2022,1.2105
01/7/2022,1.2094
30/6/2022,1.2175
29/6/2022,1.2125
28/6/2022,1.2182
27/6/2022,1.2264
24/6/2022,1.2262
23/6/2022,1.226
22/6/2022,1.2266
21/6/2022,1.2272
20/6/2022,1.225
17/6/2022,1.2224
16/6/2022,1.2351
15/6/2022,1.2178
14/6/2022,1.1993
13/6/2022,1.2134
10/6/2022,1.2314
09/6/2022,1.249
08/6/2022,1.2539
07/6/2022,1.2588
06/6/2022,1.253
03/6/2022,1.2485
02/6/2022,1.2576
01/6/2022,1.2482
31/5/2022,1.26
30/5/2022,1.265
27/5/2022,1.2616
26/5/2022,1.2594
25/5/2022,1.2564
24/5/2022,1.2529
23/5/2022,1.2588
20/5/2022,1.2487
19/5/2022,1.246
18/5/2022,1.2338
17/5/2022,1.249
16/5/2022,1.2317
13/5/2022,1.2261
12/5/2022,1.2199
11/5/2022,1.225
10/5/2022,1.2322
09/5/2022,1.2331
06/5/2022,1.2337
05/5/2022,1.2364
04/5/2022,1.2621
03/5/2022,1.2498
02/5/2022,1.2491
29/4/2022,1.2571
