Date,GBP= (BID)
,Close
31/12/2018,1.2726
24/12/2018,1.2705
17/12/2018,1.263
10/12/2018,1.2583
03/12/2018,1.2726
26/11/2018,1.2751
19/11/2018,1.2812
12/11/2018,1.2837
05/11/2018,1.2974
29/10/2018,1.297
22/10/2018,1.2831
15/10/2018,1.307
08/10/2018,1.3154
01/10/2018,1.3122
24/9/2018,1.3028
17/9/2018,1.3076
10/9/2018,1.3066
03/9/2018,1.2921
27/8/2018,1.2961
20/8/2018,1.2843
13/8/2018,1.275
06/8/2018,1.2767
30/7/2018,1.3005
23/7/2018,1.3103
16/7/2018,1.3132
09/7/2018,1.3232
02/7/2018,1.3283
25/6/2018,1.3207
18/6/2018,1.3268
11/6/2018,1.3283
04/6/2018,1.341
28/5/2018,1.3347
21/5/2018,1.3307
14/5/2018,1.3471
07/5/2018,1.3541
30/4/2018,1.353
23/4/2018,1.3778
16/4/2018,1.4003
09/4/2018,1.4239
02/4/2018,1.409
26/3/2018,1.4015
19/3/2018,1.4132
12/3/2018,1.3939
05/3/2018,1.3847
26/2/2018,1.3802
19/2/2018,1.3965
12/2/2018,1.404
05/2/2018,1.3835
29/1/2018,1.412
22/1/2018,1.4168
15/1/2018,1.3849
08/1/2018,1.3727
01/1/2018,1.3568
25/12/2017,1.3512
18/12/2017,1.336
11/12/2017,1.3319
04/12/2017,1.3389
27/11/2017,1.347
20/11/2017,1.3335
13/11/2017,1.3211
06/11/2017,1.3188
30/10/2017,1.3074
23/10/2017,1.3127
16/10/2017,1.3188
09/10/2017,1.3284
02/10/2017,1.3063
25/9/2017,1.3396
18/9/2017,1.3491
11/9/2017,1.3591
04/9/2017,1.3197
28/8/2017,1.2949
21/8/2017,1.2884
14/8/2017,1.2871
07/8/2017,1.3011
31/7/2017,1.3035
24/7/2017,1.3131
17/7/2017,1.2992
10/7/2017,1.3095
03/7/2017,1.2889
26/6/2017,1.3025
19/6/2017,1.2716
12/6/2017,1.2774
05/6/2017,1.274
29/5/2017,1.2882
22/5/2017,1.2802
15/5/2017,1.3034
08/5/2017,1.289
01/5/2017,1.2979
24/4/2017,1.2946
17/4/2017,1.2812
10/4/2017,1.2522
03/4/2017,1.2372
27/3/2017,1.2545
20/3/2017,1.2468
13/3/2017,1.2392
06/3/2017,1.2169
27/2/2017,1.229
20/2/2017,1.2465
13/2/2017,1.2412
06/2/2017,1.2489
30/1/2017,1.2485
23/1/2017,1.2546
16/1/2017,1.2374
09/1/2017,1.2176
02/1/2017,1.228
26/12/2016,1.2336
19/12/2016,1.229
12/12/2016,1.2487
05/12/2016,1.2574
28/11/2016,1.2719
21/11/2016,1.2474
14/11/2016,1.2343
07/11/2016,1.2599
31/10/2016,1.2517
24/10/2016,1.218
17/10/2016,1.2233
10/10/2016,1.2185
03/10/2016,1.2432
26/9/2016,1.2975
19/9/2016,1.2972
12/9/2016,1.2995
05/9/2016,1.3262
29/8/2016,1.3288
