Date,Close
19-Jan-2023,"2,590"
18-Jan-2023,"2,639"
17-Jan-2023,"2,659"
13-Jan-2023,"2,663"
12-Jan-2023,"2,651"
11-Jan-2023,"2,641"
10-Jan-2023,"2,615"
09-Jan-2023,"2,694"
06-Jan-2023,"2,612"
05-Jan-2023,"2,624"
04-Jan-2023,"2,607"
03-Jan-2023,"2,576"
30-Dec-2022,"2,601"
29-Dec-2022,"2,579"
28-Dec-2022,"2,624"
27-Dec-2022,"2,634"
23-Dec-2022,"2,631"
22-Dec-2022,"2,600"
21-Dec-2022,"2,531"
20-Dec-2022,"2,504"
19-Dec-2022,"2,502"
16-Dec-2022,"2,480"
15-Dec-2022,"2,522"
14-Dec-2022,"2,524"
13-Dec-2022,"2,541"
12-Dec-2022,"2,502"
09-Dec-2022,"2,504"
08-Dec-2022,"2,542"
07-Dec-2022,"2,492"
06-Dec-2022,"2,487"
05-Dec-2022,"2,479"
02-Dec-2022,"2,536"
01-Dec-2022,"2,519"
30-Nov-2022,"2,498"
29-Nov-2022,"2,480"
28-Nov-2022,"2,485"
25-Nov-2022,"2,484"
23-Nov-2022,"2,444"
22-Nov-2022,"2,455"
21-Nov-2022,"2,453"
18-Nov-2022,"2,456"
17-Nov-2022,"2,447"
16-Nov-2022,"2,502"
15-Nov-2022,"2,498"
14-Nov-2022,"2,498"
11-Nov-2022,"2,518"
10-Nov-2022,"2,555"
09-Nov-2022,"2,530"
08-Nov-2022,"2,524"
07-Nov-2022,"2,486"
04-Nov-2022,"2,430"
03-Nov-2022,"2,372"
02-Nov-2022,"2,385"
01-Nov-2022,"2,352"
31-Oct-2022,"2,343"
28-Oct-2022,"2,312"
27-Oct-2022,"2,324"
26-Oct-2022,"2,292"
25-Oct-2022,"2,308"
24-Oct-2022,"2,337"
21-Oct-2022,"2,312"
20-Oct-2022,"2,327"
19-Oct-2022,"2,310"
18-Oct-2022,"2,310"
17-Oct-2022,"2,340"
14-Oct-2022,"2,367"
13-Oct-2022,"2,370"
12-Oct-2022,"2,310"
11-Oct-2022,"2,338"
10-Oct-2022,"2,347"
07-Oct-2022,"2,381"
06-Oct-2022,"2,363"
05-Oct-2022,"2,379"
04-Oct-2022,"2,351"
03-Oct-2022,"2,328"
30-Sep-2022,"2,340"
29-Sep-2022,"2,314"
28-Sep-2022,"2,271"
27-Sep-2022,"2,276"
26-Sep-2022,"2,234"
23-Sep-2022,"2,244"
22-Sep-2022,"2,320"
21-Sep-2022,"2,345"
20-Sep-2022,"2,346"
19-Sep-2022,"2,358"
16-Sep-2022,"2,351"
15-Sep-2022,"2,377"
14-Sep-2022,"2,312"
13-Sep-2022,"2,350"
12-Sep-2022,"2,386"
09-Sep-2022,"2,360"
08-Sep-2022,"2,328"
07-Sep-2022,"2,350"
06-Sep-2022,"2,369"
02-Sep-2022,"2,416"
01-Sep-2022,"2,368"
31-Aug-2022,"2,413"
30-Aug-2022,"2,408"
29-Aug-2022,"2,410"
26-Aug-2022,"2,413"
25-Aug-2022,"2,417"
24-Aug-2022,"2,398"
23-Aug-2022,"2,318"
22-Aug-2022,"2,356"
19-Aug-2022,"2,374"
18-Aug-2022,"2,422"
17-Aug-2022,"2,421"
16-Aug-2022,"2,370"
15-Aug-2022,"2,401"
12-Aug-2022,"2,394"
11-Aug-2022,"2,451"
10-Aug-2022,"2,438"
09-Aug-2022,"2,404"
08-Aug-2022,"2,380"
05-Aug-2022,"2,341"
04-Aug-2022,"2,388"
03-Aug-2022,"2,336"
02-Aug-2022,"2,390"
01-Aug-2022,"2,390"
29-Jul-2022,"2,373"
28-Jul-2022,"2,364"
27-Jul-2022,"2,394"
26-Jul-2022,"2,435"
25-Jul-2022,"2,408"
22-Jul-2022,"2,336"
21-Jul-2022,"2,344"
20-Jul-2022,"2,403"
19-Jul-2022,"2,382"
18-Jul-2022,"2,366"
15-Jul-2022,"2,356"
14-Jul-2022,"2,247"
13-Jul-2022,"2,303"
12-Jul-2022,"2,354"
11-Jul-2022,"2,373"
08-Jul-2022,"2,318"
07-Jul-2022,"2,354"
06-Jul-2022,"2,356"
05-Jul-2022,"2,315"
01-Jul-2022,"2,314"
30-Jun-2022,"2,340"
29-Jun-2022,"2,366"
28-Jun-2022,"2,402"
27-Jun-2022,"2,410"
24-Jun-2022,"2,432"
23-Jun-2022,"2,433"
22-Jun-2022,"2,452"
21-Jun-2022,"2,468"
17-Jun-2022,"2,433"
16-Jun-2022,"2,377"
15-Jun-2022,"2,377"
14-Jun-2022,"2,367"
13-Jun-2022,"2,380"
10-Jun-2022,"2,432"
09-Jun-2022,"2,473"
08-Jun-2022,"2,494"
07-Jun-2022,"2,507"
06-Jun-2022,"2,519"
03-Jun-2022,"2,505"
02-Jun-2022,"2,510"
01-Jun-2022,"2,541"
31-May-2022,"2,515"
27-May-2022,"2,482"
26-May-2022,"2,482"
25-May-2022,"2,433"
24-May-2022,"2,465"
23-May-2022,"2,473"
20-May-2022,"2,453"
19-May-2022,"2,480"
18-May-2022,"2,494"
17-May-2022,"2,530"
16-May-2022,"2,521"
13-May-2022,"2,469"
12-May-2022,"2,433"
11-May-2022,"2,489"
10-May-2022,"2,445"
09-May-2022,"2,455"
06-May-2022,"2,492"
05-May-2022,"2,511"
04-May-2022,"2,580"
03-May-2022,"2,607"
02-May-2022,"2,604"
29-Apr-2022,"2,567"
28-Apr-2022,"2,567"
27-Apr-2022,"2,537"
26-Apr-2022,"2,507"
25-Apr-2022,"2,487"
22-Apr-2022,"2,554"
21-Apr-2022,"2,592"
20-Apr-2022,"2,593"
19-Apr-2022,"2,580"
18-Apr-2022,"2,578"
14-Apr-2022,"2,636"
13-Apr-2022,"2,627"
12-Apr-2022,"2,634"
11-Apr-2022,"2,667"
08-Apr-2022,"2,674"
07-Apr-2022,"2,627"
06-Apr-2022,"2,605"
05-Apr-2022,"2,589"
04-Apr-2022,"2,613"
01-Apr-2022,"2,641"
31-Mar-2022,"2,687"
30-Mar-2022,"2,686"
29-Mar-2022,"2,673"
28-Mar-2022,"2,636"
25-Mar-2022,"2,600"
24-Mar-2022,"2,616"
23-Mar-2022,"2,656"
22-Mar-2022,"2,614"
21-Mar-2022,"2,552"
18-Mar-2022,"2,568"
17-Mar-2022,"2,536"
16-Mar-2022,"2,532"
15-Mar-2022,"2,522"
14-Mar-2022,"2,611"
11-Mar-2022,"2,620"
10-Mar-2022,"2,683"
09-Mar-2022,"2,663"
08-Mar-2022,"2,636"
07-Mar-2022,"2,636"
04-Mar-2022,"2,620"
03-Mar-2022,"2,562"
02-Mar-2022,"2,529"
01-Mar-2022,"2,521"
28-Feb-2022,"2,529"
25-Feb-2022,"2,614"
24-Feb-2022,"2,616"
23-Feb-2022,"2,664"
22-Feb-2022,"2,656"
18-Feb-2022,"2,640"
17-Feb-2022,"2,655"
16-Feb-2022,"2,671"
15-Feb-2022,"2,722"
14-Feb-2022,"2,731"
11-Feb-2022,"2,811"
10-Feb-2022,"2,833"
09-Feb-2022,"2,801"
08-Feb-2022,"2,725"
07-Feb-2022,"2,685"
04-Feb-2022,"2,724"
03-Feb-2022,"2,690"
02-Feb-2022,"2,672"
01-Feb-2022,"2,660"
31-Jan-2022,"2,576"
28-Jan-2022,"2,546"
27-Jan-2022,"2,506"
26-Jan-2022,"2,560"
25-Jan-2022,"2,554"
24-Jan-2022,"2,550"
21-Jan-2022,"2,629"
20-Jan-2022,"2,702"
19-Jan-2022,"2,702"
18-Jan-2022,"2,679"
14-Jan-2022,"2,698"
13-Jan-2022,"2,649"
12-Jan-2022,"2,596"
11-Jan-2022,"2,617"
10-Jan-2022,"2,556"
07-Jan-2022,"2,550"
06-Jan-2022,"2,466"
05-Jan-2022,"2,501"
04-Jan-2022,"2,502"
03-Jan-2022,"2,537"
31-Dec-2021,"2,553"
30-Dec-2021,"2,586"
29-Dec-2021,"2,546"
28-Dec-2021,"2,517"
27-Dec-2021,"2,492"
23-Dec-2021,"2,505"
22-Dec-2021,"2,497"
21-Dec-2021,"2,487"
20-Dec-2021,"2,456"
17-Dec-2021,"2,529"
16-Dec-2021,"2,569"
15-Dec-2021,"2,547"
14-Dec-2021,"2,504"
13-Dec-2021,"2,532"
10-Dec-2021,"2,466"
09-Dec-2021,"2,451"
08-Dec-2021,"2,470"
07-Dec-2021,"2,485"
06-Dec-2021,"2,460"
03-Dec-2021,"2,467"
02-Dec-2021,"2,453"
01-Dec-2021,"2,352"
30-Nov-2021,"2,346"
29-Nov-2021,"2,378"
26-Nov-2021,"2,396"
24-Nov-2021,"2,512"
23-Nov-2021,"2,568"
22-Nov-2021,"2,588"
19-Nov-2021,"2,583"
18-Nov-2021,"2,589"
17-Nov-2021,"2,568"
16-Nov-2021,"2,553"
15-Nov-2021,"2,532"
12-Nov-2021,"2,525"
11-Nov-2021,"2,537"
10-Nov-2021,"2,514"
09-Nov-2021,"2,464"
08-Nov-2021,"2,480"
05-Nov-2021,"2,448"
04-Nov-2021,"2,482"
03-Nov-2021,"2,473"
02-Nov-2021,"2,507"
01-Nov-2021,"2,602"
29-Oct-2021,"2,580"
28-Oct-2021,"2,611"
27-Oct-2021,"2,634"
26-Oct-2021,"2,618"
25-Oct-2021,"2,648"
22-Oct-2021,"2,629"
21-Oct-2021,"2,601"
20-Oct-2021,"2,561"
19-Oct-2021,"2,611"
18-Oct-2021,"2,653"
15-Oct-2021,"2,653"
14-Oct-2021,"2,632"
13-Oct-2021,"2,648"
12-Oct-2021,"2,718"
11-Oct-2021,"2,725"
08-Oct-2021,"2,789"
07-Oct-2021,"2,765"
06-Oct-2021,"2,754"
05-Oct-2021,"2,792"
04-Oct-2021,"2,784"
01-Oct-2021,"2,734"
30-Sep-2021,"2,677"
29-Sep-2021,"2,616"
28-Sep-2021,"2,585"
27-Sep-2021,"2,576"
24-Sep-2021,"2,620"
23-Sep-2021,"2,642"
22-Sep-2021,"2,678"
21-Sep-2021,"2,635"
20-Sep-2021,"2,622"
17-Sep-2021,"2,688"
16-Sep-2021,"2,680"
15-Sep-2021,"2,663"
